user_name,date,text
,2022-07-12 18:36:41+00:00,Cashier online services are very slow to their services. I always wait 3 days to confirm my payments..… https://t.co/eLX9WUdfpE
,2022-07-12 18:36:28+00:00,I don't like the receipt that they are sending every time that I do payments. #NewEraUniversityOnlineService #Cashier
,2022-07-12 18:29:45+00:00,Smooth transaction #NewEraUniversityOnlineService #Cashier
,2022-07-12 18:29:34+00:00,I really don't have much of a complain #NewEraUniversityOnlineService #Cashier
,2022-07-12 18:28:59+00:00,Responsive #NewEraUniversityOnlineService
,2022-07-12 18:28:27+00:00,My NEU’s Cashier online experience is somehow good because when I’m paying for my tuition or balance after I send t… https://t.co/LhNTXV5fb0
,2022-07-12 18:27:15+00:00,They are giving me somehow fast transactions since online class started. #NewEraUniversityOnlineService #Cashier
,2022-07-12 18:26:45+00:00,good #NewEraUniversityOnlineService #Cashier
,2022-07-12 18:25:25+00:00,"When I try to email NEU regarding the incoming enrollment , my message is totally ignored until today. Its easier t… https://t.co/tqTw3CTJ7B"
,2022-07-12 18:24:55+00:00,"As a transferee student, for me they’re very responsive and they also help those in need #NewEraUniversityOnlineService #Registrar"
,2022-07-12 18:23:48+00:00,The registrar online services are okay. They are little bit slow answering and processing the requirements that we… https://t.co/DtNpOGrenG
,2022-07-12 18:23:20+00:00,Kind of delay on some processes. #NewEraUniversityOnlineService #Registrar
,2022-07-12 18:22:32+00:00,It was hard to interact with the NEU's Registrar through online services because sometimes there is a problem from… https://t.co/f7TkT1d0PG
,2022-07-12 18:21:59+00:00,My thoughts on my experience with this is they should be aware that every student needs their response as soon as p… https://t.co/FxT1P4gozg
,2022-07-12 18:21:44+00:00,It was good #NewEraUniversityOnlineService #Registrar
,2022-07-12 18:21:33+00:00,It's convenient because we don't have to go to school physically. #NewEraUniversityOnlineService #Registrar
,2022-07-12 18:21:13+00:00,They take a while to respond but really helpful #NewEraUniversityOnlineService #Registrar
,2022-07-12 18:20:36+00:00,Excellent and always assist you #NewEraUniversityOnlineService #Registrar
,2022-07-12 18:20:23+00:00,Too many process and pages to fill #NewEraUniversityOnlineService #Registrar
,2022-07-12 18:20:07+00:00,The process is fast. #NewEraUniversityOnlineService #Registrar
,2022-07-12 18:19:35+00:00,Overall satisfied #NewEraUniversityOnlineService #Registrar
,2022-07-12 18:19:20+00:00,Slow processing #NewEraUniversityOnlineService #Registrar
,2022-07-12 18:19:08+00:00,Processing documentation took a long time and was expensive. #NewEraUniversityOnlineService #Registrar
,2022-07-12 18:18:38+00:00,Straigtfoward transaction #NewEraUniversityOnlineService #Registrar
,2022-07-12 18:18:08+00:00,Takes a long time to process #NewEraUniversityOnlineService #Registrar
,2022-07-12 18:17:51+00:00,I haven’t experience a lot of transactions in NEU’s Registrar online. It is only about how they release our grades… https://t.co/NOUZLuvnI7
,2022-07-12 18:17:13+00:00,"slow, quite not responsive. if you address the concern they will not answer you directly. #NewEraUniversityOnlineService #Registrar"
,2022-07-12 17:37:41+00:00,"better moderation. enrollment of subjects in the vle should be automated, and not be added by a person. messaging s… https://t.co/Mf3CJy2DjK"
,2022-07-12 17:37:33+00:00,I hope that there is an easier way for contacting them aside form just email. and some sort of instant reply that y… https://t.co/yF1Iv40nyx
,2022-07-12 17:37:20+00:00,"I hope that there is an easier way for contacting them aside form just email.
#NewEraUniversityOnlineService #Registrar"
,2022-07-12 17:37:09+00:00,"I think its good
#NewEraUniversityOnlineService #LearningPlatform"
,2022-07-12 17:36:58+00:00,"I think its good
#NewEraUniversityOnlineService #Cashier"
,2022-07-12 17:36:41+00:00,"I think its good
#NewEraUniversityOnlineService #Registrar"
,2022-07-12 17:36:30+00:00,learning content such as modules and video tutorials  answer exams and quizzes. It's fast and reliable a lot of the… https://t.co/joHlvpxAuS
,2022-07-12 17:34:27+00:00,"give a decent time for the transaction to be done. I have never encountered any errors with my payments. Overall, N… https://t.co/Hhy3srgpLH"
,2022-07-12 17:33:31+00:00,They provide a very accommodating service to the students of the university. They are always sending a COM and tran… https://t.co/mQXtBCkZUE
,2022-07-12 17:33:26+00:00,"Not bad but not good either. NEUVLE design is too simple and not user friendly. MID.
#NewEraUniversityOnlineService #LearningPlatform"
,2022-07-12 17:33:00+00:00,Payment process depends on the crowd. If it's congested then the cashier releasing of payment will take 1 week but… https://t.co/nndBZ22B7I
,2022-07-12 17:32:48+00:00,They are affable. The process of encoding of subjects lasts 1-3 business days so i think it is good to me.… https://t.co/mOZs418NpR
,2022-07-12 17:32:38+00:00,Online platforms that have helped students adjust and adapt so much that they make online learning more bearable.… https://t.co/akTeBIjkNJ
,2022-07-12 17:32:28+00:00,"They are articulate and friendly
#NewEraUniversityOnlineService #Cashier"
,2022-07-12 17:32:19+00:00,"They can solve the problem quickly and communicate well.
#NewEraUniversityOnlineService #Registrar"
,2022-07-12 17:32:09+00:00,I think the NEU's Learning Platform online services are good because it is easy to use and the learning experience… https://t.co/uJbEKOuQFw
,2022-07-12 17:31:59+00:00,I think the NEU's Cashier online services are good because the process of payment is easy and not complicated.… https://t.co/0FvqawFz1A
,2022-07-12 17:31:55+00:00,"I think the NEU's Registrar online services are okay because they respond fast.
#NewEraUniversityOnlineService #Registrar"
,2022-07-12 17:31:37+00:00,"NEUVLE is slow, it makes an error when many people access the website
#NewEraUniversityOnlineService #LearningPlatform"
,2022-07-12 17:31:27+00:00,"They are slow to respond to students queries when it comes to online payment of tuition fees etc.
#NewEraUniversityOnlineService #Cashier"
,2022-07-12 17:31:16+00:00,They are not responsive to emails and also it takes a long time to get the necessary school requirements… https://t.co/mpDkjGbhrJ
,2022-07-12 17:31:05+00:00,The NEU's Learning Platform online services is a great way to continue the study for the students especially right… https://t.co/57MSSwRsND
,2022-07-12 17:30:54+00:00,The process of neu's cashier online services is great especially unlike before which is f2f we need to line up just… https://t.co/cc1RNAPhOp
,2022-07-12 17:30:42+00:00,The neu's registrar online services takes a lot of time to process the which takes more than a week and I wish they… https://t.co/ZbPcsTNPXc
,2022-07-12 17:30:24+00:00,"every subject has its own format, it’s very slow during midterm week or final
#NewEraUniversityOnlineService #LearningPlatform"
,2022-07-12 17:30:10+00:00,"Sometimes slow sometimes fast
#NewEraUniversityOnlineService #Cashier"
,2022-07-12 17:29:59+00:00,"Sometimes slow sometimes fast
#NewEraUniversityOnlineService #Registrar"
,2022-07-12 17:29:48+00:00,It's great because it easy to used especially in pandemic where there's a lot of restriction. it will help a lot es… https://t.co/scUkGvifKc
,2022-07-12 17:29:36+00:00,"The NEU cashier has a great response especially when i reply and unhold my account
#NewEraUniversityOnlineService #Cashier"
,2022-07-12 17:29:09+00:00,"It's really good, they reply when i email them but we must wait an hour or a day for their response… https://t.co/MKo7S703rN"
,2022-07-12 17:28:51+00:00,"example when a certain examination schedule is set on a specific date sometimes it crashes, and I think that is the… https://t.co/VPALXNvu7H"
,2022-07-12 17:23:13+00:00,For the cashier's online service i am okay with their services because they are responsive to the students… https://t.co/0LIJ4GMavI
,2022-07-12 17:23:02+00:00,"The school registrar's online service is good but, in my experience, sometimes it takes them a very long time to re… https://t.co/5fON7NkAkQ"
